parameter_id,track,component,symbol,value,unit,source_type,source_title,source_url,source_year,derivation,validation_range,data_origin
real_electricity_series,real_replay,electricity,P_real,1.0,dataset_native_unit,official_dataset,Kitakyushu Energy Station Data,https://doi.org/10.1038/s41597-024-04244-6,2024,identity conversion for audited real series,positive,real
real_gas_series,real_replay,gas,G_real,1.0,dataset_native_unit,official_dataset,Kitakyushu Energy Station Data,https://doi.org/10.1038/s41597-024-04244-6,2024,identity conversion for station-side gas series,positive,real
real_grid_series,real_replay,grid,P_grid_real,1.0,dataset_native_unit,official_dataset,Kitakyushu Energy Station Data,https://doi.org/10.1038/s41597-024-04244-6,2024,identity conversion for audited grid-import series,positive,real
real_pv_series,real_replay,pv,P_pv_real,1.0,dataset_native_unit,official_dataset,Kitakyushu Energy Station Data,https://doi.org/10.1038/s41597-024-04244-6,2024,identity conversion for audited PV series,nonnegative,real
grid_import_capacity,simulated_dispatch,grid,P_grid_max,1.5,train_electricity_p95_ratio,derived_rule,Scheme2R Scheduling Module Design Specification,https://doi.org/10.3390/en11102810,2018,1.50 times training-period electricity P95,0.5-3.0,simulated
chp_electric_capacity,simulated_dispatch,chp,P_chp_max,0.35,train_electricity_p95_ratio,derived_rule,Scheme2R Scheduling Module Design Specification,https://doi.org/10.3390/en11102810,2018,0.35 times training-period electricity P95,0.1-1.0,simulated
chp_electric_efficiency,simulated_dispatch,chp,eta_chp_e,0.35,ratio,literature,Integrated energy systems review,https://doi.org/10.3390/en17184718,2024,transparent benchmark value checked in validation sensitivity,0.2-0.5,simulated
chp_heat_efficiency,simulated_dispatch,chp,eta_chp_h,0.45,ratio,literature,Integrated energy systems review,https://doi.org/10.3390/en17184718,2024,transparent benchmark value checked in validation sensitivity,0.3-0.6,simulated
gas_boiler_capacity,simulated_dispatch,gas_boiler,Q_gb_max,1.2,train_heating_p95_ratio,derived_rule,Scheme2R Scheduling Module Design Specification,https://doi.org/10.3390/en11102810,2018,1.20 times training-period heating P95,0.8-1.8,simulated
gas_boiler_efficiency,simulated_dispatch,gas_boiler,eta_gb,0.9,ratio,literature,Integrated energy systems review,https://doi.org/10.3390/en17184718,2024,transparent benchmark value checked in validation sensitivity,0.75-0.98,simulated
electric_chiller_capacity,simulated_dispatch,electric_chiller,Q_ec_max,0.6,train_cooling_p95_ratio,derived_rule,Scheme2R Scheduling Module Design Specification,https://doi.org/10.3390/en11102810,2018,0.60 times training-period cooling P95,0.4-1.0,simulated
electric_chiller_cop,simulated_dispatch,electric_chiller,COP_ec,3.5,dimensionless,literature,Integrated energy systems review,https://doi.org/10.3390/en17184718,2024,transparent benchmark value checked in validation sensitivity,2.5-5.0,simulated
absorption_chiller_capacity,simulated_dispatch,absorption_chiller,Q_ac_max,0.6,train_cooling_p95_ratio,derived_rule,Scheme2R Scheduling Module Design Specification,https://doi.org/10.3390/en11102810,2018,0.60 times training-period cooling P95,0.4-1.0,simulated
absorption_chiller_cop,simulated_dispatch,absorption_chiller,COP_ac,0.75,dimensionless,literature,Integrated energy systems review,https://doi.org/10.3390/en17184718,2024,transparent benchmark value checked in validation sensitivity,0.5-1.2,simulated
bess_power_capacity,simulated_dispatch,bess,P_bess_max,0.2,train_electricity_p95_ratio,derived_rule,Scheme2R Scheduling Module Design Specification,https://doi.org/10.1016/j.energy.2024.131639,2024,0.20 times training-period electricity P95,0.05-0.5,simulated
bess_energy_capacity,simulated_dispatch,bess,E_bess_max,4.0,hours,benchmark_assumption,Rolling energy scheduling under uncertainty,https://doi.org/10.1016/j.energy.2024.131639,2024,4-hour equivalent energy capacity,2.0-8.0,simulated
bess_roundtrip_efficiency,simulated_dispatch,bess,eta_bess,0.9,ratio,benchmark_assumption,Rolling energy scheduling under uncertainty,https://doi.org/10.1016/j.energy.2024.131639,2024,transparent benchmark value checked in validation sensitivity,0.8-0.98,simulated
pv_rated_capacity,simulated_dispatch,pv,P_pv_max,0.15,annual_electric_energy_share,derived_rule,Scheme2R Scheduling Module Design Specification,https://doi.org/10.3390/en17184718,2024,15 percent target annual electric-energy share,0.05-0.3,simulated
wt_rated_capacity,simulated_dispatch,wt,P_wt_max,0.1,annual_electric_energy_share,derived_rule,Scheme2R Scheduling Module Design Specification,https://doi.org/10.3390/en17184718,2024,10 percent target annual electric-energy share,0.03-0.2,simulated
grid_energy_price,simulated_dispatch,grid,c_grid,1.0,normalized_cost_unit_per_kWh,benchmark_assumption,Scheme2R Scheduling Module Design Specification,https://doi.org/10.1016/j.energy.2024.131639,2024,normalized benchmark price; not reported as JPY,0.5-2.0,simulated
gas_energy_price,simulated_dispatch,city_gas,c_gas,0.6,normalized_cost_unit_per_kWh,benchmark_assumption,Scheme2R Scheduling Module Design Specification,https://doi.org/10.1016/j.energy.2024.131639,2024,normalized benchmark price; not reported as JPY,0.2-1.5,simulated
unserved_penalty,simulated_dispatch,slack,c_unserved,100.0,normalized_cost_unit_per_kWh,benchmark_assumption,Scheme2R Scheduling Module Design Specification,https://doi.org/10.1016/j.energy.2024.131639,2024,large penalty preserving load service priority,10-1000,simulated
chp_ramp_fraction,simulated_dispatch,chp,ramp_chp,0.5,capacity_per_hour,benchmark_assumption,Scheme2R Scheduling Module Design Specification,https://doi.org/10.1016/j.energy.2024.131639,2024,50 percent of capacity per hour,0.1-1.0,simulated
