candidate_id,slot,publication_year,slot_fit,dispatch_compatibility,reproducibility,information_fairness,source_quality,recency,resource_fit,fatal_exclusions,total,eligible
sha256:5b997c427e02042b,decision_focused,2026,19,18,10,15,8,5,5,insufficient_definition;no_coupling,80,False
sha256:54a21ff5973111f3,decision_focused,2026,25,18,15,15,8,5,5,,91,True
doi:10.32604/ee.2026.079449,direct_policy,2026,25,20,10,15,10,5,5,insufficient_definition,90,False
doi:10.1109/tpwrs.2025.3597806,decision_focused,2026,25,18,15,15,10,5,5,,93,True
doi:10.1038/s41598-026-67967-z,decision_focused,2026,25,18,15,15,10,5,5,,93,True
doi:10.1016/j.est.2026.121152,decision_focused,2026,25,18,15,15,10,5,5,,93,True
sha256:a1fb4a4b54856f09,decision_focused,2025,25,18,15,15,8,4,5,,90,True
sha256:7057ae7f0e65a714,decision_focused,2025,25,18,15,15,8,4,5,,90,True
doi:10.1109/tii.2025.3597951,decision_focused,2025,25,18,15,15,10,4,5,,92,True
doi:10.1016/j.suscom.2025.101162,decision_focused,2025,19,18,10,15,10,4,5,insufficient_definition;no_coupling,81,False
doi:10.1016/j.eswa.2025.130554,decision_focused,2025,25,18,15,15,10,4,5,,92,True
doi:10.1007/978-3-032-00303-4_12,direct_policy,2025,21,20,15,15,10,4,5,no_coupling,90,False
sha256:b077df504b32cfd6,decision_focused,2024,25,18,15,15,8,3,5,,89,True
doi:10.48550/arxiv.2405.14719,decision_focused,2024,25,18,15,15,10,3,5,,91,True
doi:10.3390/en17020486,forecast_pto,2024,25,16,15,15,10,3,5,,89,True
doi:10.1016/j.epsr.2024.110665,decision_focused,2024,25,18,15,15,10,3,5,,91,True
sha256:adafe897b670fe8d,direct_policy,2023,21,20,15,15,8,2,5,no_coupling,86,False
doi:10.48550/arxiv.2312.15497,forecast_pto,2023,25,16,15,15,10,2,5,,88,True
doi:10.48550/arxiv.2310.06625,forecast_pto,2023,25,16,20,15,10,2,5,,93,True
doi:10.48550/arxiv.2205.13504,forecast_pto,2023,25,16,20,15,10,2,5,,93,True
doi:10.1016/j.apenergy.2023.121014,direct_policy,2023,25,20,15,15,10,2,5,binary_only,92,False
sha256:3c30939e8293b667,direct_policy,2022,21,20,15,15,8,1,5,no_coupling,85,False
doi:10.48550/arxiv.2211.14730,forecast_pto,2022,25,16,20,15,10,1,5,,92,True
sha256:82627efe956dd9c2,direct_policy,2021,25,20,15,15,8,0,5,,88,True
doi:10.1049/iet-rpg.2018.5021,decision_focused,2018,19,18,15,15,10,0,5,no_coupling,82,False
sha256:5f90017340d1cb50,decision_focused,2017,25,18,15,15,8,0,5,,86,True
doi:10.1287/mnsc.2020.3922,decision_focused,2017,25,18,15,15,10,0,5,,88,True
doi:10.1016/j.energy.2017.06.011,forecast_pto,2017,25,16,15,15,10,0,5,,86,True
